feature,importance
price_vs_state_median,0.43139717
size_bath_interaction,0.16009103
zip_code_te,0.123097904
state_median_price,0.05616721
city_te,0.051862106
state_mean_price,0.037694115
state_price_std,0.037262402
house_size,0.018973004
acre_lot,0.014042619
luxury_score,0.007169397
lat,0.0061001657
dist_to_center,0.0060425205
zip_density,0.0055678687
log_house_size,0.0049534673
bath,0.004408073
dist_to_west_coast,0.004205634
sqft_per_bedroom,0.004120727
zip_population,0.0034753673
total_rooms,0.003301524
log_zip_density,0.0029587396
coastal_proximity,0.002811233
bed_to_bath_ratio,0.002583891
size_bed_interaction,0.0021577396
lng,0.0018516694
log_acre_lot,0.0016160818
log_zip_population,0.0014469107
dist_to_east_coast,0.0008738356
years_since_sold,0.0007711578
long_unsold,0.00074208627
brokered_by,0.0006688582
bed,0.0006546102
street_te,0.000546923
has_been_sold,0.00038397845
is_large_home,0.0
is_large_lot,0.0
bath_was_missing,0.0
bed_was_missing,0.0
acre_lot_was_missing,0.0
house_size_was_missing,0.0
recently_sold,0.0
