zip_code,lat,lng,zip_population,zip_density,county_name,timezone,state_full
00601,18.18027,-66.75266,16669.0,99.9,Adjuntas,America/Puerto_Rico,Puerto Rico
00602,18.36075,-67.17541,37233.0,474.0,Aguada,America/Puerto_Rico,Puerto Rico
00603,18.45744,-67.12225,48448.0,544.6,Aguadilla,America/Puerto_Rico,Puerto Rico
00606,18.16585,-66.93716,5163.0,45.0,Maricao,America/Puerto_Rico,Puerto Rico
00610,18.2911,-67.12243,25357.0,263.8,Añasco,America/Puerto_Rico,Puerto Rico
00611,18.27698,-66.80688,1383.0,50.2,Utuado,America/Puerto_Rico,Puerto Rico
00612,18.41283,-66.7051,62908.0,319.0,Arecibo,America/Puerto_Rico,Puerto Rico
00616,18.41878,-66.6679,9717.0,344.7,Arecibo,America/Puerto_Rico,Puerto Rico
00617,18.44598,-66.56006,22584.0,475.1,Barceloneta,America/Puerto_Rico,Puerto Rico
00622,17.98892,-67.1566,7664.0,94.9,Cabo Rojo,America/Puerto_Rico,Puerto Rico
00623,18.08429,-67.15336,39212.0,386.2,Cabo Rojo,America/Puerto_Rico,Puerto Rico
00624,18.05905,-66.71932,21148.0,173.9,Peñuelas,America/Puerto_Rico,Puerto Rico
00627,18.41905,-66.86037,32734.0,272.6,Camuy,America/Puerto_Rico,Puerto Rico
00631,18.1852,-66.83169,1321.0,163.2,Lares,America/Puerto_Rico,Puerto Rico
00637,18.081,-66.94659,22909.0,251.5,Sabana Grande,America/Puerto_Rico,Puerto Rico
00638,18.28462,-66.5137,17319.0,93.7,Ciales,America/Puerto_Rico,Puerto Rico
00641,18.26742,-66.70212,23831.0,109.4,Utuado,America/Puerto_Rico,Puerto Rico
00646,18.43251,-66.28429,35998.0,660.2,Dorado,America/Puerto_Rico,Puerto Rico
00647,17.96667,-66.94266,4369.0,106.7,Guánica,America/Puerto_Rico,Puerto Rico
00650,18.34487,-66.58347,13200.0,160.7,Florida,America/Puerto_Rico,Puerto Rico
00652,18.45614,-66.60194,4504.0,269.9,Arecibo,America/Puerto_Rico,Puerto Rico
00653,17.99413,-66.90266,8495.0,148.5,Guánica,America/Puerto_Rico,Puerto Rico
00656,18.04186,-66.79123,17398.0,159.4,Guayanilla,America/Puerto_Rico,Puerto Rico
00659,18.41036,-66.79691,37327.0,351.0,Hatillo,America/Puerto_Rico,Puerto Rico
